alpha phi1 phi2 phi3 theta1 theta2 theta3
-1.16865773837253 -0.00895272048196952 0.378483023345557 0.269965916072157 -0.0713744563669372 -0.093888952964787 -0.0331197020186924
-1.14199367143754 0.00253467627810931 0.343992822808368 0.300676468642433 -0.0730410861233602 -0.0659419700086677 -0.0506550996807002
-1.16409534973032 0.00339865056873768 0.357671597887565 0.278590345705832 -0.0694094384785055 -0.0688222176568972 -0.0477198392304772
-1.263147300909 0.0315466806023753 0.334588545670258 0.244919425824619 -0.111276854631229 -0.0353723052129523 -0.00473464996796424
-1.22563553924745 0.0079092005733567 0.356816084351586 0.259333880534328 -0.0874817566621546 -0.0814570738817515 -0.0198104169030498
-1.15540424136359 0.0498565995433985 0.330010040862855 0.261594501950077 -0.132102730079419 -0.0248674015633478 -0.00748357375652778
-1.24771155073601 0.0156084335769364 0.330886423126619 0.269706547116097 -0.0851118816152478 -0.0486401018071314 -0.0300433144346651
-1.2916070407502 0.00163034200673505 0.350677708775778 0.249555289107202 -0.0882050803728101 -0.0689667814287269 -0.0172246870191484
-1.31824827526802 0.0374877785588449 0.315281719270152 0.243008640593316 -0.0891518185069023 -0.0243190553612631 -0.0101395725770235
-1.16905882490782 0.014230131959124 0.354591912326012 0.271799961723246 -0.0813555367139116 -0.0683845090973681 -0.0183777454527066
-1.20037955485525 0.050811764670897 0.333665976400138 0.246496578032477 -0.123554119307335 -0.0473613878071182 -0.00342539599058209
-1.27776939936648 0.0317267367737189 0.324115261305756 0.248583444962742 -0.0960797448601283 -0.0209390408099818 -0.00536407742635129
NA NA NA NA NA NA NA
-1.24058181713379 0.022458633445192 0.342650736400979 0.252358704072373 -0.0909736428783023 -0.0481631189577211 0.00486717836841165
-1.21388823244958 0.0113006848806198 0.341415146037494 0.274073516013976 -0.0927370208499837 -0.0665586061089648 -0.0415417813627414
-1.28997831660628 0.0557099457342323 0.332553857497664 0.215321653242988 -0.126402034661484 -0.0393962901668889 0.0297574608447733
-1.35251006863278 0.0480745055741967 0.31383418145328 0.221371203281011 -0.111418444522348 -0.0300416571954406 0.011492831484623
-1.26589662380494 0.0397719411082383 0.292407684998072 0.277843472013465 -0.0919415306319337 0.0106828269976809 -0.0286151348729419
-1.26545834128625 0.0309579081424357 0.331594889499067 0.249004052770595 -0.0886312789417155 -0.0350850602194171 -0.0114737022112866
-1.28764082629909 0.0188650042140381 0.34425296745076 0.2383256291791 -0.0702388211279972 -0.0365452264962801 0.00166035525687344
NA NA NA NA NA NA NA
-1.29616792078661 0.0293060065806861 0.339693650588095 0.233360203848352 -0.0986369503680409 -0.0455416932867433 0.00241384809606006
-1.372334847481 0.051582688121678 0.293523445554903 0.23157075228824 -0.115141688672292 -0.0026173903528643 0.00641647377436451
-1.19205658062045 0.00667924867462594 0.386100120452869 0.239850908941525 -0.0876046705334986 -0.0834656847242534 -0.00881563831014606
-1.29597559514278 0.0427400619747045 0.33484494187125 0.223997131440763 -0.106500512358896 -0.0357267999558814 0.0155064363291194
-1.05314543644108 0.048629919928377 0.357180742882612 0.267262461865059 -0.113237481582046 -0.0637987367175454 -0.0349083701712399
-1.22555848031536 0.00908363794932815 0.363154520882264 0.249162022447541 -0.0734902585684716 -0.0771352553449391 -0.00702906104395327
-1.18465709553859 0.0449833216433661 0.359590368081509 0.229033123974247 -0.109029121035382 -0.0612780361868807 0.0226800980663746
-1.26782193205797 0.00437254793393703 0.346372405529435 0.258367628522406 -0.0763257943931882 -0.0666397533262748 -0.0160551321626857
-1.16148793605752 -0.0372280695808224 0.391834603652416 0.289296582348628 -0.0430349430776161 -0.116313066192411 -0.0394016613355619
-1.17994680771364 0.0440399886873058 0.387326693471124 0.205358601196269 -0.0938222673048869 -0.0826918703289216 0.0365275053060609
-1.16341536119823 0.03227089620034 0.35654589435133 0.251691900023245 -0.111832415320586 -0.0723522000631099 0.00461316487929304
-1.28223451701469 0.0347893265960528 0.340494972187264 0.231150334740984 -0.0862426828451642 -0.0510676567633014 -0.0107802313512486
-1.26624383341469 0.0482730115329585 0.328422466072444 0.23044946413792 -0.115654506439478 -0.0369601766669271 -0.00401803914369447
-1.29596054106199 -0.00727648787949747 0.318290266968771 0.290401720104926 -0.0647650084692819 -0.032715305161566 -0.0519094236603208
-1.09647884407673 0.00748426172411081 0.376217819911125 0.278210188544103 -0.0868707898334569 -0.0853759156162724 -0.03919333359692
NA NA NA NA NA NA NA
-1.22195265735266 0.0774025813672222 0.33396182411572 0.211657656027235 -0.134214051111195 -0.0518371786937199 0.0347454565449152
-1.08670905973007 -0.0213923861325239 0.350102100989679 0.336113692980738 -0.0753357799880233 -0.0476686395632392 -0.105746593223316
-1.1389771119419 0.0341516769632894 0.3535275209741 0.261525690503904 -0.104921520298393 -0.0911635846271294 -0.0156480211102202
-1.11498660977188 0.0272398558356413 0.319612603925598 0.309257156700224 -0.0946040096456351 -0.0191811007172653 -0.0917981901957248
-1.17017108320291 0.018401986705496 0.36980320680602 0.249120268795653 -0.0957650898895527 -0.0689363142814816 -0.0154873203659038
-1.23416836059061 0.0529155849736549 0.32750614835603 0.235678927775188 -0.121217657844696 -0.0338736174600154 0.0150347078244422
-1.27192090966967 -0.0211444394676652 0.331347695323692 0.297897243543913 -0.0720333829656135 -0.045514890962201 -0.0559929479292126
-1.29809095386785 0.0393528339579079 0.309822715985969 0.251436955924408 -0.0990573504686138 -0.0412048573683466 -0.0135350729772308
-1.13257086034837 0.000792648661551318 0.351814753706625 0.297893337401823 -0.0815284688314351 -0.054828329408052 -0.0705111024402787
-1.26612399081215 0.00714626970409301 0.323598401762977 0.279210863886657 -0.07775472135089 -0.0308552403087456 -0.0414315689881423
-1.18974223026634 0.0439911377402391 0.360817915228327 0.227416738895536 -0.120585060203082 -0.0581217430759844 0.0110137177735166
-1.2262856985532 0.0296782709004753 0.317657737416468 0.27506541641143 -0.0947190382299441 -0.0211726296083323 -0.0540523334296324
-1.09400386008996 0.0122056661318593 0.365833886888223 0.284941397331895 -0.0994257531411716 -0.08503535670788 -0.0366643122310471
-1.29995338571211 0.0458280594482952 0.335573800939338 0.217411637366386 -0.0916701846665302 -0.0476792327146502 0.0262052585201806
-1.05883917073087 -0.0359955551775677 0.378490426234273 0.33061199421556 -0.0649941420638165 -0.0905523224076312 -0.0871452834263289
-1.23946577335547 0.0135939254818679 0.374471255418849 0.231480562901565 -0.0863806285985241 -0.0854037363160828 0.016483885429677
-1.20192713368099 0.0187167618268918 0.327197882729542 0.282935677336697 -0.0913469559235349 -0.0241335071794991 -0.0527954279379113
-1.18776949577906 0.0420805447435285 0.367418027405756 0.221877295142457 -0.103522951741575 -0.0525686319835238 0.0137015589119351
-1.2942119854226 0.0677333161130992 0.329363686412306 0.203655275957334 -0.118533086880623 -0.0377726928827225 0.0418998624685459
-1.2269280333062 -0.002708591884895 0.367634241453767 0.257465437091874 -0.0792138415683261 -0.0813461704253376 -0.017145781379524
-1.08230168352007 0.0048968912227926 0.348381541527566 0.31194361717027 -0.0820468043372291 -0.057465261938229 -0.0816075672554849
-1.33794870155913 0.0619688470828591 0.315800337556172 0.213490874944001 -0.142501445216576 -0.0354978956630682 0.0141089578351145
-1.21647884298765 0.0312604103267256 0.341934371004981 0.253815171106964 -0.0923970364231217 -0.0485664228977841 -0.0141072369106421
-1.20808462188278 0.0883574986041073 0.330900073970194 0.207492846503027 -0.145980874052542 -0.0411489164983936 0.0279952338455132
-1.25486864249887 0.0354574279232135 0.350803765152758 0.227729076560049 -0.105657794274239 -0.0603420561148382 0.0217020290712834
-1.14943321188166 -0.00235541942221942 0.360748571149569 0.286772106278625 -0.0817994536182718 -0.0619164632515319 -0.0441984515634151
-1.26169424250927 0.027117985072081 0.334622581158103 0.249885075719471 -0.0980478135463218 -0.0496965033138937 0.00776018571050725
-1.17104826096733 0.0268116633003162 0.352660775051455 0.259575897344819 -0.100457566690203 -0.0685215735120277 -0.0209679055321951
-1.27997966467878 0.0352207500677432 0.357935034224817 0.212006165383953 -0.0859519814800254 -0.0800161870402706 0.00927876948498802
-1.1883708491803 0.00700890874808883 0.365292410977145 0.262417302422453 -0.0815104883616385 -0.0640542882672705 -0.0336025749667773
-1.18208894350694 0.0116693808533507 0.325921388029145 0.298369678016477 -0.0855636410415633 -0.0332137124285084 -0.0555376370312849
-1.24212408659298 0.0722534867313877 0.333250214991169 0.211051562624661 -0.133813214239418 -0.0461307578287266 0.0236300496984068
-1.16401075143666 0.027718040604722 0.370960928260588 0.242676829585255 -0.106401600979966 -0.0860586873338525 -0.000127259904354336
-1.24687914496494 0.0159237512474344 0.345637384650629 0.254546386538992 -0.0673208286633665 -0.0624266862964527 -0.00838976274586608
-1.24014688212513 0.0441928646900498 0.32417764416879 0.248752372573145 -0.11316592683763 -0.0326185230795124 0.00660804973295616
-1.20956909538268 0.00212187179987222 0.361532780168359 0.261914143806594 -0.0671582480543437 -0.0688173562229471 -0.0156049779700315
-1.32252784632342 -0.0115973047811889 0.380030442808258 0.223958414479017 -0.0544029705769891 -0.0877307966139511 0.0297074270432534
NA NA NA NA NA NA NA
-1.21313874680077 -0.00620434693799594 0.359432097610156 0.274778166784075 -0.07569505329763 -0.071146955494275 -0.0317801337115095
-1.10579479692161 0.0161025946779704 0.385939636899366 0.257616728807454 -0.109163059830102 -0.0883325060564004 -0.0229696179890697
-1.35480969231203 0.0163285240216669 0.358758427584789 0.208942793435242 -0.0878249703003889 -0.076027489373203 0.0415454120272552
-1.14187445259739 0.0710964350716344 0.354693051449544 0.222693798319489 -0.136253161665824 -0.0720959008938517 -0.00178387634209623
-1.230666176864 0.0430327763370108 0.333589314591965 0.243523261546336 -0.100263469763569 -0.0403388884478577 -0.00812404475300971
-1.2069814735241 0.060043898076271 0.337130114390164 0.231406961913231 -0.109998659620626 -0.0644950660427005 0.0144962614418257
-1.1978848292265 0.0503936102660431 0.308730926771268 0.272089134324909 -0.107891362860772 -0.00701455056923261 -0.0339970609155429
-1.14702243600168 -0.0202372739177554 0.346450805365312 0.320995972934874 -0.0735044008609155 -0.0617967251518476 -0.0924747117454161
-1.27024235964368 0.0165653971317549 0.325590528354546 0.266354819114486 -0.0796745237698669 -0.0296172685967351 -0.0210698437408141
-1.25336517377074 0.0400215231570825 0.356871956027283 0.218039916226174 -0.107392189053397 -0.0707677155016513 0.0277011500129182
